Ticker,Company Name,Sector,Date,Incorporation Region,Filing Link
GPN,GLOBAL PAYMENTS INC,Information Technology,2022-02-18,GEORGIA,https://www.sec.gov/Archives/edgar/data/1123360/000112336022000007/gpn-20211231.htm
ANET,"Arista Networks, Inc.",Information Technology,2022-02-14,DELAWARE,https://www.sec.gov/Archives/edgar/data/1596532/000159653222000026/anet-20211231.htm
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,2021-05-17,DELAWARE,https://www.sec.gov/Archives/edgar/data/827054/000082705421000106/mchp-20210331.htm
ALGN,ALIGN TECHNOLOGY INC,Health Care,2022-02-25,DELAWARE,https://www.sec.gov/Archives/edgar/data/1097149/000109714922000011/algn-20211231.htm
HPQ,HP INC,Information Technology,2021-12-09,DELAWARE,https://www.sec.gov/Archives/edgar/data/47217/000004721721000060/hpq-20211031.htm
A,"AGILENT TECHNOLOGIES, INC.",Health Care,2021-12-17,DELAWARE,https://www.sec.gov/Archives/edgar/data/1090872/000109087221000027/a-20211031.htm
DLR,"DIGITAL REALTY TRUST, INC.",Large cap,2022-02-25,UNKNOWN,https://www.sec.gov/Archives/edgar/data/1297996/000155837022002195/dlr-20211231x10k.htm
AZO,AUTOZONE INC,Consumer Discretionary,2021-10-25,NEVADA,https://www.sec.gov/Archives/edgar/data/866787/000155837021013446/azo-20210828x10k.htm
PH,PARKER HANNIFIN CORP,Industrials,2021-08-25,OHIO,https://www.sec.gov/Archives/edgar/data/76334/000007633421000187/ph-20210630.htm
APTV,Aptiv PLC,Consumer Discretionary,2022-02-07,JERSEY,https://www.sec.gov/Archives/edgar/data/1521332/000152133222000010/aptv-20211231.htm
CARR,CARRIER GLOBAL Corp,Industrials,2022-02-08,DELAWARE,https://www.sec.gov/Archives/edgar/data/1783180/000178318022000010/carr-20211231.htm
CTAS,CINTAS CORP,Industrials,2021-07-28,WASHINGTON,https://www.sec.gov/Archives/edgar/data/723254/000072325421000021/ctas-20210531.htm
